         191703 function calls (190411 primitive calls) in 594.125 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6500    0.003    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2847(<genexpr>)
        1    0.003    0.003    0.005    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:2008(_form_blocks)
      200    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      204    0.003    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1340(<listcomp>)
    17500    0.003    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2565(name)
      414    0.003    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
    14208    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      400    0.003    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\functools.py:35(update_wrapper)
      400    0.003    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:133(config_context)
        4    0.003    0.001    0.003    0.001 {pandas._libs.algos.ensure_object}
       34    0.003    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:470(sanitize_array)
        4    0.003    0.001    0.003    0.001 {built-in method builtins.round}
      214    0.003    0.000    0.444    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2160(sum)
      200    0.003    0.000  593.168    2.966 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:761(_dispatch)
     1242    0.003    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
       11    0.002    0.000    0.010    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\arraysetops.py:138(unique)
       88    0.002    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:687(_values)
3765/3617    0.002    0.000    0.003    0.000 {built-in method builtins.len}
       22    0.002    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\accessor.py:178(__get__)
      204    0.002    0.000    0.018    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1276(check_is_fitted)
      203    0.002    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:76(get_active_backend)
      200    0.002    0.000    0.060    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:76(inner)
      200    0.002    0.000  593.145    2.966 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:258(__call__)
     1100    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\copy.py:128(deepcopy)
      202    0.002    0.000    0.008    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:121(__exit__)
      200    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\getlimits.py:647(__init__)
        8    0.002    0.000    0.007    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:162(_mean)
      414    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
        2    0.002    0.001    0.003    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\logger.py:39(short_format_time)
      105    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:257(_num_features)
     6000    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\enum.py:670(__new__)
      600    0.002    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1375(check_scalar)
      200    0.002    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:97(delayed)
      200    0.002    0.000    0.036    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:218(set_params)
       11    0.002    0.000    0.058    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:373(check_consistent_length)
      405    0.002    0.000    0.105    0.000 {built-in method builtins.next}
        1    0.002    0.002    0.003    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:615(_assemble_r2_explained_variance)
      201    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      500    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:192(<listcomp>)
       12    0.002    0.000    0.015    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:5078(_can_hold_identifiers_and_holds_name)
        1    0.002    0.002  552.292  552.292 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:301(fit)
      119    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1587(_is_dtype_type)
       34    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\blocks.py:2025(new_block)
        7    0.002    0.000    0.010    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:130(filterwarnings)
       11    0.002    0.000    0.002    0.000 {method 'sort' of 'numpy.ndarray' objects}
        8    0.002    0.000    0.010    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\function_base.py:395(average)
     4270    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        1    0.002    0.002    0.006    0.006 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:501(effective_n_jobs)
      200    0.002    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\random.py:791(getrandbits)
        1    0.002    0.002    0.002    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:1338(current_thread)
      202    0.002    0.000    0.002    0.000 {built-in method nt.urandom}
    11000    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2577(kind)
      304    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
      203    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:280(__init__)
      200    0.002    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:122(put)
      102    0.002    0.000    0.311    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:149(ones)
     6000    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
        5    0.002    0.000    0.003    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:405(_check_feature_names)
      400    0.002    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:351(notify)
      207    0.002    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
      514    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:28(get_config)
      100    0.002    0.000    0.040    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:51(_set_random_states)
      200    0.002    0.000  593.140    2.966 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:262(<listcomp>)
        8    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
        5    0.001    0.000    0.087    0.017 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:495(_validate_data)
      200    0.001    0.000  593.152    2.966 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:206(apply_async)
      100    0.001    0.000    2.560    0.026 <__array_function__ internals>:177(bincount)
     1848    0.001    0.000    0.012    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
      626    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      100    0.001    0.000    0.239    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1670(_check_sample_weight)
      101    0.001    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:480(<genexpr>)
        1    0.001    0.001    0.003    0.003 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:185(in_main_thread)
       33    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\construction.py:695(_try_cast)
      114    0.001    0.000    0.249    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\extmath.py:870(_safe_accumulator_op)
        2    0.001    0.001    0.003    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\uuid.py:713(uuid4)
      400    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:46(set_config)
        2    0.001    0.001    0.002    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\uuid.py:138(__init__)
     3100    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      114    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numerictypes.py:356(issubdtype)
      914    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:20(_get_threadlocal_config)
        1    0.001    0.001    0.044    0.044 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:601(_validate_X_predict)
      200    0.001    0.000    0.005    0.000 <__array_function__ internals>:177(concatenate)
        4    0.001    0.000    0.097    0.024 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:66(_check_reg_targets)
      202    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
        7    0.001    0.000    0.036    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:672(_with_infer)
      414    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
       22    0.001    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\arrays\sparse\accessor.py:20(__init__)
     6108    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      400    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:1001(is_classifier)
       59    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.001    0.001    0.021    0.021 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:463(_init_dict)
      100    0.001    0.000    0.101    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:157(_make_estimator)
      207    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:34(__init__)
        4    0.001    0.000    0.243    0.061 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\__init__.py:188(_pandas_indexing)
        1    0.001    0.001    0.003    0.003 <__array_function__ internals>:177(cumsum)
      100    0.001    0.000    3.257    0.033 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:128(_generate_sample_indices)
       11    0.001    0.000    0.011    0.001 <__array_function__ internals>:177(unique)
        1    0.001    0.001    0.001    0.001 {method 'cumsum' of 'numpy.ndarray' objects}
      500    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:494(unwrap)
      121    0.001    0.000    0.305    0.003 <__array_function__ internals>:177(copyto)
      314    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
        8    0.001    0.000    0.011    0.001 <__array_function__ internals>:177(average)
       41    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:7082(maybe_extract_name)
      121    0.001    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:181(_add_filter)
        3    0.001    0.000    0.155    0.052 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\generic.py:3621(take)
      121    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\warnings.py:458(__enter__)
